Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,,
2015-08-14,205.8883514404297,221.02850341796875,222.18284606933594,213.5652618408203,214.9253387451172,12739366
2015-08-17,202.42828369140625,217.31402587890625,220.8113555908203,216.25111389160156,220.8113555908203,10857430
2015-08-18,201.02297973632812,215.8053741455078,218.5255126953125,215.37107849121094,218.5255126953125,6630334
2015-08-19,203.2587127685547,218.20550537109375,219.66842651367188,214.74246215820312,215.7825164794922,8877298
2015-08-20,195.1036834716797,209.4507598876953,219.4284210205078,208.8678741455078,219.4284210205078,19008087
2015-08-21,193.3257598876953,207.54209899902344,208.44500732421875,205.0391082763672,208.0106964111328,20050521
2015-08-24,176.6324005126953,189.6211700439453,201.1531982421875,186.9810333251953,201.1531982421875,35635706
2015-08-25,180.59278869628906,193.87281799316406,196.73011779785156,188.169677734375,192.20416259765625,49504268
2015-08-26,181.71067810058594,195.07289123535156,199.96456909179688,192.00987243652344,193.79281616210938,18955515
2015-08-27,185.06422424316406,198.67306518554688,201.4389190673828,195.90721130371094,198.13589477539062,26997546
2015-08-28,185.75625610351562,199.4159698486328,201.8389434814453,197.97589111328125,200.01028442382812,10770215
2015-08-31,182.24298095703125,195.64434814453125,199.51882934570312,195.16432189941406,199.51882934570312,20708942
2015-09-01,178.8255157470703,191.9755859375,195.1871795654297,190.8898162841797,195.1871795654297,21645696
2015-09-02,180.8909149169922,194.19284057617188,195.91864013671875,192.60418701171875,194.2957000732422,19652369
2015-09-03,181.8064727783203,195.17575073242188,196.7529754638672,193.01564025878906,195.22146606445312,11659978
2015-09-04,177.9844512939453,191.0726776123047,194.2271270751953,188.60397338867188,194.2271270751953,16199949
2015-09-07,177.40957641601562,190.45550537109375,192.92420959472656,189.19830322265625,191.60984802246094,10234633
2015-09-08,180.68862915039062,193.97567749023438,194.9700164794922,188.60397338867188,191.0955352783203,12900468
2015-09-09,186.10755920410156,199.79312133789062,200.8560333251953,194.4099884033203,196.81011962890625,17340694
2015-09-10,184.60643005371094,198.18161010742188,198.98165893554688,195.5529022216797,196.81011962890625,11074406
2015-09-11,183.31825256347656,196.79869079589844,200.26171875,195.71292114257812,199.32452392578125,10634833
2015-09-14,183.93572998046875,197.46157836914062,197.88446044921875,194.73001098632812,196.98155212402344,7964072
2015-09-15,184.60643005371094,198.18161010742188,198.86737060546875,195.5757598876953,197.0386962890625,11509788
2015-09-16,185.78819274902344,199.45025634765625,200.54745483398438,197.77017211914062,199.34739685058594,13424811
2015-09-18,190.65353393554688,204.6733856201172,205.61056518554688,200.50173950195312,200.79888916015625,34261453
2015-09-21,186.9698944091797,200.71888732910156,203.02757263183594,200.2502899169922,201.1531982421875,12732187
2015-09-22,180.53958129882812,193.815673828125,202.27325439453125,193.0384979248047,201.1531982421875,15745524
2015-09-23,181.06124877929688,194.37570190429688,195.85006713867188,192.00987243652344,192.69561767578125,15221260
2015-09-24,178.293212890625,191.4041290283203,193.83853149414062,190.809814453125,193.83853149414062,29076982
2015-09-28,177.6331329345703,190.6955108642578,192.21559143066406,189.4268798828125,191.9641571044922,11624639
2015-09-29,179.01710510253906,192.18130493164062,194.35284423828125,188.8325653076172,189.7240447998047,15853471
2015-09-30,183.605712890625,197.10726928710938,197.67872619628906,191.6669921875,194.5242919921875,17292020
2015-10-01,184.11671447753906,197.65586853027344,199.770263671875,196.2615203857422,199.770263671875,8663393
2015-10-05,189.077880859375,202.9818572998047,203.43902587890625,197.00440979003906,197.22157287597656,16015412
2015-10-06,191.21778869628906,205.2791290283203,205.8391571044922,202.46754455566406,204.73052978515625,12330294
2015-10-07,194.5713653564453,208.87930297851562,209.8507843017578,203.66761779785156,204.51336669921875,11515191
2015-10-08,189.31210327148438,203.23330688476562,209.13075256347656,202.58184814453125,209.13075256347656,10753149
2015-10-09,188.93948364257812,202.83328247070312,206.97064208984375,201.49607849121094,204.3647918701172,9327873
2015-10-12,189.8763427734375,203.83905029296875,206.09059143066406,202.9818572998047,202.9818572998047,6212395
2015-10-13,190.270263671875,204.26193237304688,204.8791046142578,201.8160858154297,202.3075408935547,6162561
2015-10-14,192.26113891601562,206.39918518066406,206.86778259277344,204.34193420410156,204.7648162841797,8002587
2015-10-15,192.42080688476562,206.57061767578125,208.23927307128906,205.7477264404297,207.48495483398438,9048478
2015-10-16,194.78428649902344,209.10789489746094,209.10789489746094,206.57061767578125,206.75347900390625,15246935
2015-10-19,205.15377807617188,220.23989868164062,220.69705200195312,215.09677124023438,215.09677124023438,33505855
2015-10-20,203.70587158203125,218.68553161621094,220.9713592529297,217.8397674560547,220.582763671875,18091895
2015-10-21,203.34388732910156,218.29693603515625,222.8228759765625,217.8397674560547,218.41122436523438,14404450
